SN,Gender,AGE,Recency_Service,Recency_Product,Bill_Service,Bill_Product,Success,AGE_Encoded,Total_Recency,Total_Bill,Recency_Ratio,Bill_Ratio
672,2,<=55,15,1,25.44,2.8,0,2,16,28.240000000000002,7.5,6.6947368421052635
673,2,<=45,3,3,4.4,0.95,0,1,6,5.3500000000000005,0.75,2.256410256410257
674,2,<=45,2,3,7.58,0.47,0,1,5,8.05,0.5,5.156462585034014
675,2,<=55,15,14,18.72,1.92,0,2,29,20.64,1.0,6.410958904109589
676,2,<=45,8,4,8.25,1.85,0,1,12,10.1,1.6,2.8947368421052633
677,2,<=30,0,8,12.94,1.45,1,0,8,14.389999999999999,0.0,5.281632653061224
678,2,<=45,7,17,10.36,1.89,0,1,24,12.25,0.3888888888888889,3.5847750865051906
679,1,<=55,18,28,14.79,6.34,0,2,46,21.13,0.6206896551724138,2.014986376021798
680,1,<=55,24,5,5.05,0.98,0,2,29,6.029999999999999,4.0,2.5505050505050506
681,1,<=55,18,5,14.22,4.98,0,2,23,19.200000000000003,3.0,2.3779264214046822
682,1,<=30,3,3,29.64,3.56,1,0,6,33.2,0.75,6.499999999999999
683,2,<=30,5,9,8.85,0.88,0,0,14,9.73,0.5,4.707446808510638
